timestamp_relative,shoulder_pan_joint_desired_pos,shoulder_lift_joint_desired_pos,elbow_joint_desired_pos,wrist_1_joint_desired_pos,wrist_2_joint_desired_pos,wrist_3_joint_desired_pos,shoulder_pan_joint_actual_pos,shoulder_lift_joint_actual_pos,elbow_joint_actual_pos,wrist_1_joint_actual_pos,wrist_2_joint_actual_pos,wrist_3_joint_actual_pos,shoulder_pan_joint_desired_vel,shoulder_lift_joint_desired_vel,elbow_joint_desired_vel,wrist_1_joint_desired_vel,wrist_2_joint_desired_vel,wrist_3_joint_desired_vel,shoulder_pan_joint_actual_vel,shoulder_lift_joint_actual_vel,elbow_joint_actual_vel,wrist_1_joint_actual_vel,wrist_2_joint_actual_vel,wrist_3_joint_actual_vel
0.000000404,-2.088937600,-0.497006254,0.889092809,-0.364060385,0.962040554,1.558150445,-2.088940922,-0.496965233,0.889020026,-0.364024941,0.962037027,1.558084965,0.000600192,-0.007401980,0.013131203,-0.006393753,0.000637626,0.011822942,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.032005043,-2.088869241,-0.497843080,0.890575850,-0.364781925,0.962113444,1.559491919,-2.088940446,-0.496970479,0.889029980,-0.364029709,0.962037444,1.558093905,0.003948552,-0.048100763,0.085188061,-0.041424503,0.004220312,0.077292237,0.000061925,-0.000773127,0.001370713,-0.000660951,0.000069401,0.001224556
0.047881485,-2.088790322,-0.498800467,0.892270443,-0.365605585,0.962197964,1.561033463,-2.088935677,-0.497027699,0.889130950,-0.364078824,0.962042332,1.558184862,0.005906408,-0.071375141,0.126267475,-0.061346616,0.006337567,0.115144236,0.000491150,-0.005991479,0.010628711,-0.005171156,0.000513213,0.009589224
0.063920568,-2.088681482,-0.500109318,0.894584314,-0.366729169,0.962315024,1.563150017,-2.088911359,-0.497326676,0.889661372,-0.364336793,0.962068319,1.558664799,0.007685197,-0.091977551,0.162495245,-0.078863838,0.008284430,0.149088418,0.002064754,-0.025213769,0.044679776,-0.021727720,0.002197965,0.040455628
0.079798912,-2.088546622,-0.501714014,0.897416993,-0.368103067,0.962460799,1.565758569,-2.088859860,-0.497954671,0.890773296,-0.364877526,0.962123454,1.559674144,0.009134112,-0.108055912,0.190587631,-0.092377989,0.009900351,0.176160459,0.003790055,-0.046116609,0.081631847,-0.039682288,0.004057935,0.074184977
0.095966353,-2.088390931,-0.503543259,0.900640239,-0.369664168,0.962630088,1.568750910,-2.088779275,-0.498926942,0.892492771,-0.365712945,0.962209702,1.561241508,0.010192643,-0.118923373,0.209340446,-0.101308186,0.011118507,0.195217150,0.005590063,-0.067459136,0.119298600,-0.057945531,0.006012775,0.108903766
0.111868788,-2.088221863,-0.505500561,0.904081777,-0.371328167,0.962815170,1.571976465,-2.088670556,-0.500229661,0.894794703,-0.366830651,0.962326825,1.563350916,0.010881671,-0.124984886,0.219507545,-0.106035027,0.011954770,0.206790823,0.007298390,-0.087294236,0.154194936,-0.074823871,0.007883517,0.141566500
0.128037768,-2.088044268,-0.507523571,0.907630390,-0.373040682,0.963010997,1.575337606,-2.088537041,-0.501819436,0.897600412,-0.368191067,0.962471783,1.565938473,0.011329128,-0.128006426,0.224267079,-0.108123277,0.012536995,0.213556018,0.008779249,-0.103813984,0.183107197,-0.088751420,0.009510145,0.169273704
0.143786128,-2.087860154,-0.509588306,0.911243721,-0.374781157,0.963215407,1.578795432,-2.088382546,-0.503628556,0.900787413,-0.369734112,0.962639630,1.568900347,0.011753671,-0.130929529,0.228896290,-0.110164978,0.013086996,0.220020980,0.009921320,-0.115830176,0.203913763,-0.098686837,0.010817789,0.190040901
0.159943664,-2.087666282,-0.511738456,0.915000173,-0.376588114,0.963431677,1.582416820,-2.088213746,-0.505582635,0.904223025,-0.371394936,0.962824643,1.572122097,0.012446524,-0.137679176,0.240438114,-0.115620637,0.013899730,0.232203034,0.010721499,-0.123378918,0.216740102,-0.104723632,0.011763454,0.203902870
0.175831162,-2.087461944,-0.514000915,0.918951797,-0.378488648,0.963659761,1.586231586,-2.088034455,-0.507623974,0.907803714,-0.373122994,0.963021994,1.575512528,0.013175029,-0.146202955,0.255443859,-0.122896269,0.014690364,0.246309585,0.011282307,-0.127916321,0.224244982,-0.108160473,0.012457252,0.213032559
0.192033744,-2.087245094,-0.516416898,0.923175478,-0.380521842,0.963901101,1.590295290,-2.087847058,-0.509732072,0.911494434,-0.374901597,0.963230073,1.579039574,0.013826379,-0.154710821,0.270642834,-0.130360732,0.015356648,0.259767875,0.011798251,-0.132099524,0.231118292,-0.111312479,0.013116920,0.221457198
0.207802948,-2.087019776,-0.518949500,0.927608831,-0.382658592,0.964150825,1.594539832,-2.087650601,-0.511918847,0.915316820,-0.376741234,0.963448882,1.582715034,0.014436860,-0.162959857,0.285440875,-0.137654333,0.015968530,0.272643973,0.012366683,-0.137466520,0.240235612,-0.115603216,0.013790099,0.231303200
0.224689377,-2.086783065,-0.521630657,0.932307518,-0.384925614,0.964412218,1.599019394,-2.087548558,-0.513049905,0.917293608,-0.377692525,0.963562429,1.584619641,0.015052857,-0.170972877,0.299748437,-0.144677877,0.016600164,0.285340256,0.012681125,-0.140840530,0.246093288,-0.118412904,0.014137988,0.237125546
0.240735830,-2.086536798,-0.524431418,0.937218707,-0.387296509,0.964683625,1.603691475,-2.087337319,-0.515404050,0.921407998,-0.379672352,0.963798106,1.588581443,0.015698037,-0.178607506,0.313210275,-0.151214140,0.017296437,0.297915130,0.013469213,-0.150123596,0.262437671,-0.126332611,0.014994388,0.252502382
0.256755268,-2.086280437,-0.527344147,0.942325479,-0.389761581,0.964966264,1.608553198,-2.087083642,-0.518243138,0.926375449,-0.382065598,0.964079142,1.593345404,0.016392888,-0.185825423,0.325689563,-0.157166950,0.018092320,0.310500175,0.016463770,-0.184930772,0.323701799,-0.156013548,0.018240113,0.310027331
