timestamp_absolute,timestamp_relative,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1770918433.058655500,0.000000000,-2.089010064,-0.497077767,0.888900995,-0.363969151,0.962049007,1.557942033,0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1770918433.158655405,0.100000000,-2.087785755,-0.511288648,0.913900720,-0.376059559,0.963388603,1.581324719,0.024763581,-0.284615519,0.499971202,-0.241523880,0.027214238,0.470696743
1770918433.258655548,0.200000000,-2.083884451,-0.553592643,0.987560450,-0.411389633,0.967784457,1.653390293,0.054052876,-0.554242805,0.956384354,-0.455197501,0.062306657,0.970774939
1770918433.358655453,0.300000000,-2.076754530,-0.620609416,1.101474587,-0.464831997,0.976283851,1.775485244,0.090014297,-0.779090731,1.303706558,-0.601739246,0.110447597,1.471120923
1770918433.458655596,0.400000000,-2.065493748,-0.708260241,1.244916150,-0.529284853,0.990560499,1.947613408,0.137688496,-0.969857428,1.550116896,-0.674849109,0.179198507,1.971432440
1770918433.558655500,0.500000000,-2.049745874,-0.807504547,1.398889004,-0.593278089,1.011514290,2.155541293,0.171692650,-0.974463503,1.464217460,-0.575272966,0.232101415,2.094395355
1770918433.658655405,0.600000000,-2.031095802,-0.903306523,1.537948801,-0.644188125,1.036921789,2.364980817,0.202230486,-0.945136888,1.321813311,-0.443710412,0.276495561,2.094395272
1770918433.758655548,0.700000000,-2.009095738,-0.997127727,1.663959975,-0.682052465,1.066912985,2.574420339,0.238912454,-0.933800706,1.200892191,-0.313232636,0.323902182,2.094395173
1770918433.858655453,0.800000000,-1.983050345,-1.090495152,1.778448487,-0.706682098,1.101843348,2.783859859,0.283438883,-0.935308164,1.089786745,-0.178391557,0.375508869,2.094395186
1770918433.958655596,0.900000000,-1.952082011,-1.184472398,1.881981228,-0.717507639,1.142207730,2.993299380,0.337788836,-0.945296492,0.980649069,-0.036918190,0.432947294,2.094395114
1770918434.058655500,1.000000000,-1.917280013,-1.274435568,1.969685018,-0.714431301,1.185991249,3.191284294,0.349066028,-0.834913434,0.761522644,0.089606148,0.431172244,1.824903913
1770918434.158655405,1.100000000,-1.882373253,-1.352272882,2.036439487,-0.701195466,1.228378801,3.360521195,0.349066102,-0.726117928,0.583180262,0.168754856,0.416953730,1.571491261
1770918434.258655548,1.200000000,-1.847466653,-1.420342332,2.087873515,-0.681707629,1.269456257,3.507507048,0.349065919,-0.638111690,0.451863664,0.216889488,0.404964173,1.376344649
1770918434.358655453,1.300000000,-1.812560056,-1.480364060,2.127866280,-0.658493879,1.309439588,3.637155540,0.349065961,-0.564340819,0.352388604,0.244669404,0.395019837,1.222454540
